datetimeAt,invno,dckw,ackw,dayTotal,wind_spd,temp,pres,ts
2021-12-01 11:00:00,1,15.480556640625,15.366,27.6,8.2,-1.3,1014.6,1638324000.0
2021-12-01 11:00:00,2,15.4283779296875,15.237,27.5,8.2,-1.3,1014.6,1638324000.0
2021-12-01 11:00:00,3,15.5250419921875,15.36,27.5,8.2,-1.3,1014.6,1638324000.0
2021-12-01 11:00:00,4,15.5232216796875,15.373,30.1,8.2,-1.3,1014.6,1638324000.0
2021-12-01 11:00:00,5,15.6166318359375,15.459000000000001,29.200000000000006,8.2,-1.3,1014.6,1638324000.0
2021-12-01 12:00:00,1,16.645970703125002,16.482,43.5,9.3,-0.6,1015.6,1638327600.0
2021-12-01 12:00:00,2,16.55587890625,16.359,43.3,9.3,-0.6,1015.6,1638327600.0
2021-12-01 12:00:00,3,16.696583984375,16.505,43.40000000000001,9.3,-0.6,1015.6,1638327600.0
2021-12-01 12:00:00,4,16.666845703125,16.47,46.0,9.3,-0.6,1015.6,1638327600.0
2021-12-01 12:00:00,5,16.795474609375,16.539,45.1,9.3,-0.6,1015.6,1638327600.0
2021-12-01 13:00:00,1,15.38687109375,15.249,59.3,8.8,-0.2,1014.6,1638331200.0
2021-12-01 13:00:00,2,15.351291015625,15.127,59.0,8.8,-0.2,1014.6,1638331200.0
2021-12-01 13:00:00,3,15.3995419921875,15.190999999999999,59.2,8.8,-0.2,1014.6,1638331200.0
2021-12-01 13:00:00,4,15.4198662109375,15.213,61.8,8.8,-0.2,1014.6,1638331200.0
2021-12-01 13:00:00,5,15.469138671875,15.305,61.0,8.8,-0.2,1014.6,1638331200.0
2021-12-01 14:00:00,1,13.1642744140625,13.085999999999999,73.60000000000002,8.8,-0.2,1014.6,1638334800.0
2021-12-01 14:00:00,2,13.121251953125,12.955,73.10000000000002,8.8,-0.2,1014.6,1638334800.0
2021-12-01 14:00:00,3,13.1869111328125,13.065999999999999,73.4,8.8,-0.2,1014.6,1638334800.0
2021-12-01 14:00:00,4,13.18398046875,13.026,76.0,8.8,-0.2,1014.6,1638334800.0
2021-12-01 14:00:00,5,13.2523466796875,13.099,75.3,8.8,-0.2,1014.6,1638334800.0
2021-12-01 15:00:00,1,9.4756328125,9.381,84.9,9.8,-0.7,1014.6,1638338400.0
2021-12-01 15:00:00,2,9.5207265625,9.376,84.4,9.8,-0.7,1014.6,1638338400.0
2021-12-01 15:00:00,3,9.559423828125,9.446,84.7,9.8,-0.7,1014.6,1638338400.0
2021-12-01 15:00:00,4,9.560064453125,9.439,87.30000000000003,9.8,-0.7,1014.6,1638338400.0
2021-12-01 15:00:00,5,9.6323349609375,9.503,86.7,9.8,-0.7,1014.6,1638338400.0
2021-12-01 16:00:00,1,4.59968017578125,4.579,91.9,1.0,-1.8,1009.5,1638342000.0
2021-12-01 16:00:00,2,3.889157470703125,3.852,91.2,1.0,-1.8,1009.5,1638342000.0
2021-12-01 16:00:00,3,4.66703662109375,4.633,91.8,1.0,-1.8,1009.5,1638342000.0
2021-12-01 16:00:00,4,4.711818359375,4.619,94.4,1.0,-1.8,1009.5,1638342000.0
2021-12-01 16:00:00,5,4.761046875,4.672,93.8,1.0,-1.8,1009.5,1638342000.0
2021-12-01 17:00:00,1,0.11757675933837893,0.152,93.7,9.3,-3.1,1015.6,1638345600.0
2021-12-01 17:00:00,2,0.12772725677490235,0.147,92.7,9.3,-3.1,1015.6,1638345600.0
2021-12-01 17:00:00,3,0.0921974639892578,0.149,93.6,9.3,-3.1,1015.6,1638345600.0
2021-12-01 17:00:00,4,0.15552009582519533,0.152,96.2,9.3,-3.1,1015.6,1638345600.0
2021-12-01 17:00:00,5,0.15836044311523434,0.149,95.7,9.3,-3.1,1015.6,1638345600.0
2021-12-01 18:00:00,1,1.8788850160379745e-39,0.0,93.7,5.7,-3.7,1015.6,1638349200.0
2021-12-01 18:00:00,4,1.8799717958645787e-39,0.0,96.3,5.7,-3.7,1015.6,1638349200.0
2021-12-01 18:00:00,5,3.6604679248646013e-16,0.0,95.7,5.7,-3.7,1015.6,1638349200.0
2021-12-01 18:00:00,2,1.8784850294043177e-39,0.0,92.7,5.7,-3.7,1015.6,1638349200.0
2021-12-01 18:00:00,3,1.8830436214645825e-39,0.0,93.6,5.7,-3.7,1015.6,1638349200.0
2021-12-01 19:00:00,1,1.8788850160379745e-39,0.0,93.7,8.2,-4.1,1016.6,1638352800.0
2021-12-01 19:00:00,4,1.8799717958645787e-39,0.0,96.3,8.2,-4.1,1016.6,1638352800.0
2021-12-01 19:00:00,5,3.6604679248646013e-16,0.0,95.7,8.2,-4.1,1016.6,1638352800.0
2021-12-01 19:00:00,2,1.8784850294043177e-39,0.0,92.7,8.2,-4.1,1016.6,1638352800.0
2021-12-01 19:00:00,3,1.8830436214645825e-39,0.0,93.6,8.2,-4.1,1016.6,1638352800.0
2021-12-01 20:00:00,1,1.8788850160379745e-39,0.0,93.7,7.2,-4.4,1017.6,1638356400.0
2021-12-01 20:00:00,4,1.8799717958645787e-39,0.0,96.3,7.2,-4.4,1017.6,1638356400.0
2021-12-01 20:00:00,5,3.6604679248646013e-16,0.0,95.7,7.2,-4.4,1017.6,1638356400.0
2021-12-01 20:00:00,2,1.8784850294043177e-39,0.0,92.7,7.2,-4.4,1017.6,1638356400.0
2021-12-01 20:00:00,3,1.8830436214645825e-39,0.0,93.6,7.2,-4.4,1017.6,1638356400.0
2021-12-01 21:00:00,1,1.8788850160379745e-39,0.0,93.7,5.7,-4.7,1018.6,1638360000.0
2021-12-01 21:00:00,4,1.8799717958645787e-39,0.0,96.3,5.7,-4.7,1018.6,1638360000.0
2021-12-01 21:00:00,5,3.6604679248646013e-16,0.0,95.7,5.7,-4.7,1018.6,1638360000.0
2021-12-01 21:00:00,2,1.8784850294043177e-39,0.0,92.7,5.7,-4.7,1018.6,1638360000.0
2021-12-01 21:00:00,3,1.8830436214645825e-39,0.0,93.6,5.7,-4.7,1018.6,1638360000.0
2021-12-01 22:00:00,1,1.8788850160379745e-39,0.0,93.7,1.0,-4.9,1018.6,1638363600.0
2021-12-01 22:00:00,4,1.8799717958645787e-39,0.0,96.3,1.0,-4.9,1018.6,1638363600.0
2021-12-01 22:00:00,5,3.6604679248646013e-16,0.0,95.7,1.0,-4.9,1018.6,1638363600.0
2021-12-01 22:00:00,2,1.8784850294043177e-39,0.0,92.7,1.0,-4.9,1018.6,1638363600.0
2021-12-01 22:00:00,3,1.8830436214645825e-39,0.0,93.6,1.0,-4.9,1018.6,1638363600.0
2021-12-01 23:00:00,1,1.8788850160379745e-39,0.0,93.7,5.7,-4.9,1018.6,1638367200.0
2021-12-01 23:00:00,4,1.8799717958645787e-39,0.0,96.3,5.7,-4.9,1018.6,1638367200.0
2021-12-01 23:00:00,5,3.6604679248646013e-16,0.0,95.7,5.7,-4.9,1018.6,1638367200.0
2021-12-01 23:00:00,2,1.8784850294043177e-39,0.0,92.7,5.7,-4.9,1018.6,1638367200.0
2021-12-01 23:00:00,3,1.8830436214645825e-39,0.0,93.6,5.7,-4.9,1018.6,1638367200.0
2021-12-02 00:00:00,1,0.0,0.0,0.0,4.6,-5.0,1019.5,1638370800.0
2021-12-02 00:00:00,4,0.0,0.0,0.0,4.6,-5.0,1019.5,1638370800.0
2021-12-02 00:00:00,5,0.0,0.0,0.0,4.6,-5.0,1019.5,1638370800.0
2021-12-02 00:00:00,2,0.0,0.0,0.0,4.6,-5.0,1019.5,1638370800.0
2021-12-02 00:00:00,3,0.0,0.0,0.0,4.6,-5.0,1019.5,1638370800.0
